[I 2024-01-05 15:27:27,955] A new study created in memory with name: no-name-f4e6a6de-7c56-4e08-b52a-2dd4077e197e
[I 2024-01-05 15:27:54,042] Trial 0 finished with value: 0.8294625028019589 and parameters: {'n_estimators': 260, 'max_depth': 16, 'min_samples_split': 0.012098165323999955, 'min_samples_leaf': 0.2077493489561343, 'max_features': 'log2'}. Best is trial 0 with value: 0.8294625028019589.
[I 2024-01-05 15:28:36,676] Trial 1 finished with value: 0.8246271730900165 and parameters: {'n_estimators': 403, 'max_depth': 29, 'min_samples_split': 0.19548665641049598, 'min_samples_leaf': 0.23492530066816295, 'max_features': 'log2'}. Best is trial 0 with value: 0.8294625028019589.
[I 2024-01-05 15:29:43,967] Trial 2 finished with value: 0.8420631924143345 and parameters: {'n_estimators': 430, 'max_depth': 14, 'min_samples_split': 0.08185039104179267, 'min_samples_leaf': 0.09816252083609946, 'max_features': 'log2'}. Best is trial 2 with value: 0.8420631924143345.
[I 2024-01-05 15:30:36,516] Trial 3 finished with value: 0.8329114138971881 and parameters: {'n_estimators': 446, 'max_depth': 11, 'min_samples_split': 0.2903540244567952, 'min_samples_leaf': 0.17202653863252657, 'max_features': 'log2'}. Best is trial 2 with value: 0.8420631924143345.
[I 2024-01-05 15:31:21,989] Trial 4 finished with value: 0.8426475965701382 and parameters: {'n_estimators': 308, 'max_depth': 11, 'min_samples_split': 0.18770010996836645, 'min_samples_leaf': 0.10799313087589478, 'max_features': 'log2'}. Best is trial 4 with value: 0.8426475965701382.
[I 2024-01-05 15:31:58,440] Trial 5 finished with value: 0.824794445088165 and parameters: {'n_estimators': 358, 'max_depth': 18, 'min_samples_split': 0.20577468393345258, 'min_samples_leaf': 0.2418184982875294, 'max_features': 'log2'}. Best is trial 4 with value: 0.8426475965701382.
[I 2024-01-05 15:34:25,277] Trial 6 finished with value: 0.7778672243683212 and parameters: {'n_estimators': 436, 'max_depth': 9, 'min_samples_split': 0.1558326323715178, 'min_samples_leaf': 0.12401779355758151, 'max_features': None}. Best is trial 4 with value: 0.8426475965701382.
[I 2024-01-05 15:35:02,077] Trial 7 finished with value: 0.8082097404241605 and parameters: {'n_estimators': 382, 'max_depth': 9, 'min_samples_split': 0.010991083141174475, 'min_samples_leaf': 0.29258795471544174, 'max_features': 'sqrt'}. Best is trial 4 with value: 0.8426475965701382.
[I 2024-01-05 15:35:48,670] Trial 8 finished with value: 0.7435200092506097 and parameters: {'n_estimators': 182, 'max_depth': 25, 'min_samples_split': 0.1846569302437538, 'min_samples_leaf': 0.19101381528165903, 'max_features': None}. Best is trial 4 with value: 0.8426475965701382.
[I 2024-01-05 15:36:33,609] Trial 9 finished with value: 0.851209851824186 and parameters: {'n_estimators': 240, 'max_depth': 19, 'min_samples_split': 0.11965617216657223, 'min_samples_leaf': 0.020735112142720134, 'max_features': 'sqrt'}. Best is trial 9 with value: 0.851209851824186.
[I 2024-01-05 15:36:53,550] Trial 10 finished with value: 0.8546781519428436 and parameters: {'n_estimators': 103, 'max_depth': 4, 'min_samples_split': 0.09467769412563615, 'min_samples_leaf': 0.012788340530823755, 'max_features': 'sqrt'}. Best is trial 10 with value: 0.8546781519428436.
